housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
39.0,2062.0,588.0,1933.0,570.0,1.3801,97000.0
35.0,1852.0,358.0,1414.0,347.0,4.275,173600.0
9.0,2486.0,626.0,1938.0,525.0,2.1293,151400.0
20.0,37.0,11.0,34.0,8.0,1.2,50000.0
26.0,3535.0,748.0,1322.0,666.0,7.1674,500001.0
24.0,2532.0,555.0,1564.0,507.0,2.3359,92400.0
30.0,6540.0,991.0,3124.0,953.0,6.0663,372600.0
19.0,583.0,113.0,531.0,134.0,1.6838,95800.0
35.0,2370.0,379.0,996.0,380.0,5.7368,287200.0
17.0,2029.0,404.0,1190.0,437.0,2.9554,115000.0
26.0,2159.0,523.0,1331.0,520.0,3.87,264500.0
48.0,1091.0,236.0,632.0,234.0,3.7235,263600.0
34.0,1457.0,239.0,557.0,226.0,3.6181,96500.0
17.0,2142.0,436.0,946.0,412.0,3.7059,146300.0
52.0,2877.0,721.0,1186.0,704.0,3.2645,175000.0
33.0,2921.0,652.0,1124.0,608.0,5.0151,500001.0
9.0,13670.0,2453.0,2811.0,1193.0,3.2589,137900.0
46.0,1130.0,201.0,503.0,196.0,4.4861,246300.0
43.0,2179.0,682.0,2624.0,609.0,1.8641,108200.0
21.0,2281.0,557.0,1510.0,460.0,2.8625,189600.0
13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0
34.0,2795.0,460.0,1267.0,443.0,6.1464,354400.0
36.0,2241.0,419.0,1743.0,448.0,4.6587,161900.0
22.0,2199.0,361.0,1270.0,386.0,5.1149,235700.0
15.0,2016.0,443.0,1015.0,419.0,5.2732,209700.0
29.0,3025.0,477.0,1035.0,452.0,6.112,390600.0
24.0,1702.0,447.0,1240.0,417.0,2.4091,115500.0
20.0,1782.0,896.0,1749.0,823.0,2.2094,75000.0
27.0,2278.0,479.0,995.0,449.0,2.5148,110200.0
21.0,427.0,63.0,182.0,70.0,11.3283,500001.0
3.0,2850.0,544.0,1024.0,515.0,6.0115,175000.0
40.0,1279.0,316.0,1438.0,329.0,2.1774,157600.0
19.0,3068.0,596.0,912.0,554.0,3.775,168000.0
40.0,2108.0,526.0,1922.0,544.0,3.163,137800.0
36.0,1860.0,367.0,794.0,366.0,5.0871,354500.0
10.0,3580.0,491.0,1688.0,467.0,7.7814,288700.0
27.0,1871.0,556.0,2542.0,581.0,2.8427,164400.0
30.0,2369.0,753.0,3259.0,770.0,2.1964,158500.0
3.0,2443.0,637.0,1033.0,548.0,4.1379,183300.0
32.0,2718.0,447.0,1156.0,410.0,5.2497,259300.0
41.0,1562.0,322.0,927.0,277.0,1.3047,44100.0
24.0,1790.0,454.0,1137.0,386.0,2.537,107900.0
29.0,1061.0,202.0,759.0,206.0,4.8646,136800.0
4.0,4308.0,1095.0,1923.0,932.0,3.9356,267000.0
37.0,2250.0,360.0,989.0,329.0,6.1536,366000.0
31.0,1471.0,321.0,841.0,330.0,3.46,232800.0
19.0,2870.0,1021.0,3325.0,978.0,1.7395,162500.0
17.0,3353.0,463.0,1417.0,447.0,5.1721,237100.0
18.0,2807.0,445.0,1315.0,437.0,4.8194,170400.0
43.0,762.0,206.0,854.0,188.0,1.2315,98200.0
21.0,4723.0,882.0,2210.0,768.0,3.8167,258700.0
16.0,2114.0,374.0,1463.0,399.0,3.9241,131500.0
36.0,2463.0,447.0,1125.0,424.0,6.0176,352700.0
20.0,1962.0,334.0,1173.0,349.0,4.1316,162500.0
42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0
41.0,1182.0,346.0,1644.0,346.0,2.1473,115100.0
22.0,4173.0,763.0,1086.0,444.0,2.5562,136200.0
10.0,516.0,107.0,282.0,96.0,4.2788,125000.0
20.0,2355.0,722.0,1848.0,576.0,2.0036,99200.0
44.0,1079.0,275.0,1249.0,249.0,3.0417,141700.0
34.0,2003.0,466.0,1226.0,443.0,3.0613,136700.0
11.0,1720.0,345.0,850.0,326.0,3.2027,128600.0
30.0,4114.0,743.0,1994.0,722.0,4.2227,134400.0
23.0,5495.0,1141.0,2873.0,1004.0,3.9156,224100.0
26.0,6960.0,1454.0,4367.0,1437.0,4.7953,210900.0
39.0,2502.0,546.0,1849.0,518.0,3.8846,164100.0
38.0,3115.0,622.0,1238.0,606.0,2.6083,67000.0
20.0,4600.0,1018.0,1675.0,932.0,5.1999,500001.0
26.0,2553.0,405.0,1337.0,411.0,5.3737,252900.0
17.0,3361.0,925.0,3264.0,914.0,2.2813,145600.0
24.0,2528.0,947.0,2437.0,861.0,2.2746,225000.0
24.0,2741.0,577.0,1551.0,522.0,3.474,70500.0
35.0,1880.0,370.0,926.0,321.0,4.2273,269900.0
8.0,6190.0,1088.0,2967.0,1000.0,3.8616,195100.0
52.0,2045.0,353.0,722.0,327.0,8.0755,500001.0
22.0,3119.0,640.0,786.0,351.0,3.0806,118500.0
6.0,13724.0,2269.0,5860.0,1986.0,3.9617,183000.0
17.0,2492.0,494.0,1278.0,439.0,2.8875,155700.0
29.0,3436.0,731.0,1323.0,676.0,2.4943,122300.0
35.0,2093.0,407.0,1755.0,403.0,3.4115,150400.0
33.0,151.0,83.0,380.0,83.0,1.4224,189600.0
25.0,1630.0,353.0,1546.0,371.0,5.0893,173400.0
25.0,4719.0,745.0,1857.0,739.0,5.0371,180200.0
31.0,1070.0,155.0,426.0,153.0,6.1628,219200.0
35.0,3095.0,594.0,1550.0,576.0,3.575,113500.0
52.0,1375.0,322.0,287.0,184.0,3.9028,500001.0
39.0,1535.0,340.0,1204.0,370.0,2.8482,247200.0
19.0,3666.0,1150.0,2657.0,1090.0,2.9688,202100.0
15.0,4371.0,908.0,1842.0,818.0,2.7797,105500.0
15.0,1448.0,378.0,949.0,300.0,0.8585,45000.0
16.0,1141.0,220.0,563.0,200.0,2.3287,130700.0
14.0,3677.0,863.0,2191.0,785.0,2.6218,69100.0
29.0,1219.0,338.0,1152.0,323.0,2.8029,180900.0
22.0,2927.0,637.0,2546.0,618.0,2.7153,114300.0
16.0,3631.0,974.0,2585.0,923.0,3.0691,130400.0
32.0,1650.0,313.0,802.0,284.0,2.9048,98200.0
35.0,1582.0,248.0,654.0,221.0,4.9091,275000.0
38.0,921.0,239.0,1023.0,241.0,3.4514,151900.0
46.0,2444.0,397.0,952.0,402.0,4.75,388200.0
24.0,323.0,214.0,751.0,189.0,1.8304,225000.0
26.0,1134.0,280.0,329.0,158.0,1.4338,43900.0
19.0,1783.0,415.0,1025.0,383.0,4.1484,230000.0
51.0,1280.0,422.0,1560.0,381.0,1.7115,125000.0
22.0,4251.0,1073.0,1581.0,881.0,5.2555,500001.0
34.0,2278.0,476.0,1728.0,448.0,3.125,154100.0
20.0,6257.0,1346.0,2795.0,1267.0,2.2094,83700.0
9.0,3049.0,471.0,1527.0,515.0,5.0733,196600.0
19.0,3330.0,1010.0,1837.0,915.0,3.0173,393800.0
19.0,6789.0,1200.0,2325.0,1109.0,4.049,126000.0
29.0,1179.0,249.0,672.0,243.0,3.1125,154800.0
33.0,2279.0,591.0,1250.0,576.0,2.4297,139000.0
20.0,3442.0,1526.0,1427.0,977.0,3.1985,106300.0
27.0,2000.0,310.0,880.0,294.0,5.635,218900.0
44.0,2146.0,394.0,851.0,355.0,6.48,500001.0
35.0,2097.0,351.0,977.0,358.0,4.3958,108400.0
12.0,1869.0,356.0,1007.0,323.0,3.125,117200.0
20.0,3158.0,684.0,2396.0,713.0,3.525,153000.0
23.0,1771.0,356.0,1105.0,338.0,3.7049,192200.0
13.0,4115.0,782.0,2903.0,747.0,3.7316,192400.0
36.0,1432.0,265.0,749.0,261.0,3.5772,207400.0
4.0,2320.0,405.0,1408.0,477.0,6.3369,256000.0
37.0,2848.0,328.0,852.0,327.0,13.367,500001.0
16.0,7718.0,1423.0,4383.0,1394.0,4.0693,146400.0
18.0,4215.0,810.0,2104.0,773.0,4.0873,146900.0
19.0,2335.0,518.0,1028.0,383.0,1.7267,60700.0
43.0,1769.0,387.0,1102.0,377.0,4.5493,281500.0
44.0,1728.0,367.0,1042.0,349.0,1.6033,58500.0
18.0,1206.0,274.0,622.0,217.0,1.8264,62000.0
33.0,1805.0,303.0,838.0,301.0,5.4306,326600.0
12.0,1790.0,379.0,1399.0,397.0,2.5388,59600.0
39.0,1880.0,367.0,954.0,349.0,3.875,236400.0
17.0,2518.0,1196.0,3051.0,1000.0,1.7199,175000.0
26.0,2469.0,532.0,1068.0,501.0,1.9832,122100.0
36.0,1674.0,309.0,818.0,307.0,3.4773,150400.0
13.0,3795.0,604.0,1639.0,609.0,4.6635,198400.0
11.0,1281.0,291.0,861.0,313.0,1.0962,72300.0
52.0,1394.0,223.0,545.0,230.0,3.95,219000.0
36.0,1489.0,331.0,838.0,259.0,1.2024,90200.0
44.0,1629.0,420.0,1893.0,387.0,2.2991,137500.0
52.0,1782.0,308.0,735.0,307.0,5.2954,485100.0
16.0,3970.0,771.0,1202.0,734.0,3.4115,184800.0
40.0,1800.0,290.0,761.0,277.0,5.1265,196100.0
18.0,2251.0,510.0,1032.0,369.0,2.2946,101000.0
30.0,2290.0,523.0,1272.0,472.0,3.5606,165100.0
34.0,2512.0,603.0,1805.0,584.0,2.9735,220000.0
52.0,2157.0,418.0,929.0,419.0,3.7301,204400.0
13.0,5301.0,1025.0,2870.0,984.0,3.5954,163000.0
18.0,521.0,118.0,174.0,74.0,2.7788,91100.0
15.0,11989.0,2185.0,6652.0,2081.0,4.5554,278300.0
41.0,2048.0,439.0,1191.0,429.0,3.8,222500.0
32.0,1595.0,309.0,706.0,277.0,2.8958,86400.0
50.0,1843.0,326.0,892.0,314.0,3.1346,120000.0
11.0,2660.0,352.0,1226.0,366.0,7.6832,319800.0
41.0,1105.0,227.0,443.0,210.0,3.1827,131700.0
38.0,1673.0,399.0,1116.0,382.0,1.3302,62200.0
30.0,2958.0,691.0,1616.0,666.0,3.4643,191800.0
36.0,1678.0,323.0,1380.0,352.0,3.5481,163300.0
11.0,3628.0,469.0,1488.0,463.0,7.0844,325000.0
6.0,16222.0,2309.0,6700.0,2080.0,6.4963,308100.0
44.0,1712.0,314.0,691.0,293.0,4.3594,221300.0
40.0,1351.0,330.0,701.0,297.0,3.32,292900.0
13.0,2135.0,429.0,779.0,432.0,3.6995,134900.0
40.0,2936.0,732.0,2024.0,676.0,2.1139,70900.0
19.0,2653.0,680.0,1419.0,579.0,2.3787,91300.0
36.0,1138.0,228.0,725.0,219.0,3.4167,187200.0
32.0,1293.0,317.0,1109.0,286.0,1.1786,45600.0
23.0,3187.0,870.0,1977.0,852.0,3.3939,212100.0
39.0,213.0,44.0,138.0,52.0,2.125,196400.0
26.0,2036.0,401.0,1343.0,414.0,3.6331,88600.0
29.0,2666.0,848.0,2030.0,781.0,2.5432,180900.0
26.0,2177.0,638.0,1971.0,560.0,1.2575,66800.0
29.0,779.0,136.0,364.0,123.0,2.5,59200.0
36.0,806.0,147.0,446.0,153.0,4.5221,151300.0
16.0,3491.0,502.0,1496.0,509.0,6.6207,270500.0
24.0,3202.0,703.0,3308.0,714.0,4.1577,174100.0
44.0,2252.0,592.0,989.0,550.0,3.0132,272900.0
31.0,1068.0,271.0,1091.0,281.0,1.689,102600.0
43.0,1455.0,300.0,747.0,279.0,2.7857,104200.0
31.0,2609.0,645.0,1796.0,629.0,1.5479,82000.0
27.0,1596.0,297.0,1703.0,289.0,4.1,184900.0
34.0,912.0,165.0,522.0,150.0,4.0417,178000.0
36.0,1276.0,503.0,1502.0,450.0,2.1766,205600.0
20.0,5330.0,976.0,2734.0,1000.0,5.2138,233100.0
40.0,1294.0,308.0,1177.0,301.0,3.6667,218800.0
13.0,1839.0,275.0,752.0,270.0,4.2031,209600.0
25.0,3025.0,689.0,1755.0,661.0,3.8893,218600.0
35.0,2830.0,518.0,1577.0,524.0,5.35,210500.0
35.0,865.0,226.0,602.0,217.0,3.0,229100.0
31.0,1498.0,359.0,1168.0,340.0,1.2232,49300.0
42.0,1411.0,314.0,1432.0,322.0,3.0871,138800.0
25.0,1025.0,266.0,726.0,183.0,3.875,137500.0
16.0,4367.0,1161.0,2164.0,1005.0,4.0214,139500.0
16.0,2896.0,404.0,1165.0,379.0,6.4559,392900.0
26.0,3285.0,502.0,1443.0,530.0,5.7833,339600.0
34.0,4624.0,781.0,1572.0,719.0,6.5533,500001.0
30.0,1822.0,505.0,932.0,496.0,2.6894,179500.0
13.0,2360.0,340.0,1055.0,312.0,5.2134,97400.0
30.0,1170.0,258.0,610.0,243.0,3.4427,263500.0
8.0,3746.0,767.0,2161.0,744.0,3.2039,103400.0
13.0,9027.0,1901.0,4870.0,1797.0,3.406,100700.0
15.0,1852.0,316.0,906.0,298.0,5.3526,129800.0
13.0,8327.0,1849.0,4126.0,1773.0,3.7313,189800.0
16.0,3363.0,611.0,1603.0,556.0,4.2542,294100.0
15.0,3273.0,895.0,1872.0,842.0,2.5388,119000.0
20.0,2271.0,602.0,992.0,520.0,2.2599,157600.0
19.0,2012.0,732.0,3483.0,731.0,2.2234,181300.0
36.0,878.0,167.0,499.0,179.0,4.1181,190400.0
27.0,2696.0,622.0,1322.0,543.0,3.0352,135400.0
46.0,1748.0,428.0,1707.0,409.0,2.148,103800.0
34.0,943.0,135.0,378.0,139.0,5.1765,344600.0
20.0,1182.0,250.0,512.0,210.0,1.7935,74500.0
20.0,463.0,180.0,486.0,190.0,1.0313,85000.0
34.0,1336.0,345.0,1009.0,311.0,1.608,73700.0
5.0,2697.0,639.0,1633.0,580.0,3.4456,165800.0
12.0,4427.0,822.0,2400.0,843.0,4.7147,158700.0
15.0,1821.0,516.0,1385.0,439.0,2.5101,95300.0
35.0,1493.0,267.0,811.0,272.0,5.244,218000.0
37.0,1462.0,257.0,849.0,287.0,3.0542,123900.0
35.0,1818.0,339.0,828.0,319.0,4.3036,282100.0
36.0,2081.0,412.0,1931.0,373.0,3.7917,160600.0
41.0,1229.0,302.0,994.0,270.0,1.4891,67300.0
42.0,2203.0,412.0,1012.0,377.0,4.0714,234000.0
37.0,1161.0,254.0,882.0,236.0,4.4167,158000.0
39.0,4098.0,1100.0,2054.0,1053.0,2.918,345600.0
34.0,2395.0,469.0,1087.0,438.0,5.9683,394600.0
23.0,1276.0,437.0,1359.0,376.0,1.9609,155000.0
38.0,1400.0,376.0,1139.0,315.0,2.2368,120000.0
21.0,3639.0,1002.0,1489.0,983.0,4.6197,387500.0
18.0,1451.0,278.0,695.0,254.0,1.7262,73700.0
7.0,2493.0,693.0,951.0,641.0,4.2375,205000.0
52.0,1495.0,230.0,459.0,190.0,8.1548,500001.0
52.0,3419.0,777.0,710.0,265.0,3.9028,128600.0
23.0,5465.0,1494.0,2511.0,1359.0,3.4531,210900.0
46.0,778.0,90.0,238.0,93.0,15.0001,500001.0
47.0,1700.0,344.0,922.0,357.0,3.1845,87200.0
32.0,2122.0,591.0,1929.0,539.0,2.7311,169300.0
24.0,2069.0,436.0,909.0,374.0,2.5326,139100.0
37.0,1997.0,436.0,1349.0,437.0,2.1382,166600.0
25.0,3742.0,1180.0,3916.0,1063.0,2.4,153700.0
5.0,1692.0,398.0,814.0,328.0,3.663,158300.0
52.0,2285.0,509.0,839.0,456.0,4.7946,355600.0
44.0,364.0,102.0,339.0,98.0,2.483,214300.0
39.0,2840.0,733.0,2606.0,737.0,1.9429,76400.0
28.0,1731.0,295.0,810.0,295.0,5.0391,259800.0
47.0,1956.0,277.0,724.0,277.0,8.9616,500001.0
33.0,3260.0,673.0,1784.0,666.0,3.5078,126500.0
43.0,1350.0,287.0,811.0,307.0,3.3636,140900.0
34.0,3413.0,693.0,2223.0,651.0,3.8239,208200.0
31.0,1933.0,478.0,1522.0,423.0,1.5781,119300.0
31.0,3401.0,616.0,1750.0,602.0,4.6761,143100.0
20.0,4296.0,817.0,1732.0,800.0,4.8036,188300.0
13.0,3963.0,812.0,1905.0,671.0,2.2278,90500.0
45.0,1899.0,461.0,1260.0,415.0,2.6667,320000.0
32.0,2723.0,637.0,1549.0,556.0,2.3942,183100.0
48.0,1869.0,461.0,1834.0,441.0,1.7052,107400.0
36.0,1522.0,230.0,677.0,206.0,5.8642,363500.0
25.0,2689.0,719.0,1229.0,663.0,3.5909,500001.0
28.0,2825.0,470.0,1352.0,469.0,5.2639,242000.0
25.0,1731.0,482.0,1127.0,455.0,3.256,214300.0
39.0,2614.0,569.0,1665.0,553.0,3.4063,271600.0
29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0
38.0,2310.0,400.0,971.0,386.0,5.697,435700.0
46.0,40.0,10.0,14.0,7.0,1.125,225000.0
28.0,12139.0,2873.0,5359.0,2731.0,3.292,227300.0
35.0,2226.0,602.0,2230.0,549.0,2.9167,129300.0
22.0,2398.0,407.0,349.0,169.0,7.0423,500001.0
35.0,899.0,179.0,455.0,185.0,4.2857,190400.0
38.0,2868.0,466.0,1098.0,438.0,7.9059,477100.0
24.0,968.0,240.0,631.0,250.0,2.8636,240300.0
38.0,2152.0,451.0,1320.0,457.0,2.5025,101900.0
22.0,1194.0,207.0,545.0,223.0,3.8603,134300.0
29.0,1916.0,386.0,1019.0,314.0,2.4881,87500.0
46.0,723.0,154.0,411.0,165.0,2.0893,96500.0
32.0,3556.0,521.0,1381.0,537.0,6.1426,450700.0
17.0,3386.0,729.0,1715.0,666.0,3.7479,213000.0
18.0,3631.0,547.0,1700.0,520.0,5.817,257300.0
4.0,6956.0,1271.0,3455.0,1228.0,4.7193,178700.0
17.0,13553.0,2474.0,6544.0,2359.0,3.9727,132700.0
24.0,6097.0,794.0,2248.0,806.0,10.1357,500001.0
35.0,2391.0,605.0,1886.0,595.0,2.5551,182100.0
48.0,2074.0,297.0,700.0,279.0,8.7051,500001.0
46.0,695.0,136.0,408.0,148.0,3.9408,222600.0
15.0,3193.0,468.0,1303.0,426.0,5.3017,202600.0
14.0,1908.0,484.0,1195.0,467.0,1.7929,82300.0
36.0,1815.0,426.0,1280.0,431.0,3.25,218100.0
30.0,3306.0,629.0,1623.0,648.0,2.8614,145200.0
29.0,331.0,85.0,341.0,107.0,0.7069,70300.0
31.0,6675.0,842.0,2092.0,796.0,11.8442,500001.0
52.0,109.0,20.0,86.0,24.0,4.9844,187500.0
40.0,1340.0,313.0,766.0,271.0,3.4722,135400.0
26.0,1382.0,387.0,1977.0,368.0,2.7589,137500.0
26.0,3940.0,657.0,1180.0,600.0,6.1025,500001.0
16.0,8517.0,1910.0,4508.0,1837.0,3.1853,129600.0
15.0,2062.0,327.0,781.0,316.0,4.9359,317700.0
33.0,1976.0,404.0,1379.0,395.0,3.8542,175400.0
20.0,5998.0,1320.0,3185.0,1199.0,3.2731,113900.0
23.0,1419.0,261.0,706.0,269.0,3.1875,110200.0
49.0,2919.0,719.0,1956.0,679.0,1.5427,88500.0
52.0,1009.0,216.0,614.0,231.0,4.0074,200800.0
39.0,1583.0,349.0,857.0,316.0,3.0958,145800.0
